,Line,Time,Speaker,Discussion,Clean,Topics
16,423,0:25:00,Sarah,this but the idea of a wheel ,idea wheel,idea wheel
17,425,0:25:00,Sarah,pushing a wheel along,pushing wheel along,pushing wheel along
33,426,0:25:00,Tom,that's a obviously this is a mechanical way of doing what we're talking ,obviously mechanical way talking,mechanical talking obviously
34,427,0:25:00,Tom,about so it could the thing could look like like a character couldn't ,could thing could look character could,character thing could
36,431,0:25:00,Jamie,I guess this idea Tom was that this is the print head here and this quite a ,guess idea tom wa print head quite,tom print guess
37,432,0:25:00,Jamie,wide like a caravan      is that      angles that can hold that to feel it because ,wide caravan angle hold feel,hold feel angle
38,433,0:25:00,Jamie,if you know if he goes then this digs into ,know go dig,dig go know
435,435,0:25:00,AJ,so you could even have three wheels couldn't you three small wheels to ,could even three wheel could three small wheel,wheel small three
436,436,0:25:00,AJ,sort of drive it,sort drive,drive sort
52,437,0:25:00,Tony,you could      couldn't you? and you could have a cross section it ,could could could cross section,cross section could
53,438,0:25:00,Tony,could be kind of kind of like this so you can look down here and you can ,could kind kind look,kind could look
54,439,0:25:00,Tony,see the whole from there to there ,see whole,see whole
55,441,0:26:00,Tony,see where you're going and you could stick three ball bearings in here and ,see going could stick three ball bearing,bearing ball stick
56,442,0:26:00,Tony,just roll around on the surface,roll around surface,roll surface around
57,444,0:26:00,Tony,and obviously see where your feet are going,obviously see foot going,foot going obviously
58,446,0:26:00,Tony,its just so you could acquire lots of stuff where you're actually marking     ,could acquire lot stuff actually marking,marking stuff acquire
35,448,0:26:00,Tom,yeah its sort of it's a compromise between here with a pen you want ,sort compromise pen want,compromise pen sort
36,449,0:26:00,Tom,to see what you're doing don't you you want to see ,see want see,see want
37,451,0:26:00,Tom,but with this type of toy you don't do you?,type toy,toy type
20,453,0:26:00,Charles,probably aware      pattern appears as an edge so you can go right up to ,probably aware pattern appears edge go right,appears pattern edge
21,455,0:26:00,Charles,rather that the middle of something big if its big than it doesn't matter ,rather middle something big big doe matter,big middle matter
22,456,0:26:00,Charles,much so long as its at an edge of the big thing where the ,much long edge big thing,long big edge
457,457,0:26:00,AJ,but even with paper      suppose you could still get to it its not like ,even paper suppose could still get,paper suppose still
458,458,0:26:00,AJ,hoovering a room when you can't get to an edge is it ,hoovering room cannot get edge,hoovering room edge
59,459,0:26:00,Tony,it becomes more complex to the user as well you can rotate it so you can ,becomes complex user well rotate,user rotate complex
60,460,0:26:00,Tony,get to this corner or ,get corner,corner get
61,462,0:26:00,Tony,rotate it to get to that one,rotate get one,rotate get one
463,463,0:26:00,AJ,yeah it’s an interesting idea,interesting idea,idea interesting
465,465,0:27:00,AJ,add some wheels to it any other things that people brought?,add wheel thing people brought,thing people add
23,466,0:27:00,Charles,I bought      a tram,bought tram,bought tram
469,469,0:27:00,AJ, you saw the others looking at architecture so you thought I’ll bring      ,saw others looking architecture thought bring,thought architecture bring
24,470,0:27:00,Charles,well the distance between the rails and the what I was thinking the ,well distance rail wa thinking,wa thinking distance
25,471,0:27:00,Charles,distance between the rails and the overhead wires always changing as it ,distance rail overhead wire always changing,rail distance wire
26,472,0:27:00,Charles,has to follow this articulating ,ha follow articulating,articulating follow ha
473,473,0:27:00,AJ,yeah nice idea,nice idea,idea nice
27,474,0:27:00,Charles,it’s a bit like the suspension on a car as well the car sort of has this inertia ,bit suspension car well car sort ha inertia,car inertia suspension
28,475,0:27:00,Charles,it flies along in a straight line with suspension and all sorts of things as the ,fly along straight line suspension sort thing,straight sort suspension
29,476,0:27:00,Charles,wheels pump up and down,wheel pump,pump wheel
30,479,0:27:00,Charles,as well stay in contact with the road if you've got a decent car,well stay contact road got decent car,contact decent stay
480,480,0:27:00,AJ,well that's that's the other thing I suppose we haven't considered ,well thing suppose considered,considered suppose thing
481,481,0:27:00,AJ,anything like air pockets or anything like that that could be like a little ,anything air pocket anything could little,pocket air little
31,485,0:28:00,Charles,that's the sort of thing about children they do things jerkily quickly,sort thing child thing jerkily quickly,thing sort child
62,487,0:28:00,Tony,so it didn’t get to take a,get take,get take
63,492,0:28:00,Tony,stick a big giroscope in it so they can't jerk it around,stick big giroscope cannot jerk around,stick jerk big
493,493,0:28:00,AJ,yeah OK that's a good idea Tony,ok good idea tony,good idea tony
38,495,0:28:00,Tom,we should have a target aged child here shouldn't we?,target aged child,aged child target
39,497,0:28:00,Tom,to because well I think well like this I say about this obviously it ,well well say obviously,obviously say well
40,498,0:28:00,Tom,wasn't a problem if you don't if you don't let it gimble that way then ,wa problem let gimble way,wa problem gimble
41,499,0:28:00,Tom,you'd get you can make your own lines cant you you can make different ,get make line cant make different,make line cant
42,502,0:28:00,Tom,so so it might if the if the applications for somebody who's got,might application somebody got,application got might
43,504,0:28:00,Tom,     then you add a feature by taking out you know,add feature taking know,add feature taking
44,507,0:29:00,Tom,yeah because if yeah if say if the the pen is printed in just ,say pen printed,pen printed say
45,508,0:29:00,Tom,dotted lines you can you can if this pen if you don't let it go that way you ,dotted line pen let go way,line dotted pen
46,509,0:29:00,Tom,could make it print dotted line print dotted line ,could make print dotted line print dotted line,line print dotted
510,510,0:29:00,AJ,oh so you just have you just have one print out one ,one print one,print one
39,513,0:29:00,Jamie,so I guess what you're saying is any mechanism you can have it switch on ,guess saying mechanism switch,guess mechanism switch
40,514,0:29:00,Jamie,switch off one could be easy line      and then you can switch it off so that ,switch one could easy line switch,switch line easy
47,516,0:29:00,Tom,you could use it just so at the corner of the  printer ,could use corner printer,corner printer could
32,517,0:29:00,Charles,well you could do that just by activating one of the channels on the grid,well could activating one channel grid,grid activating channel
64,519,0:29:00,Tony,I think that's the way to do it because otherwise you can overheat the print ,way otherwise overheat print,overheat print otherwise
65,520,0:29:00,Tony,head and might damage it so part of the thing here is we need to hold ,head might damage part thing need hold,part thing damage
66,521,0:31:00,Tony,it down otherwise it going to overheat as its firing if there’s no where for ,otherwise going overheat firing,firing overheat going
67,522,0:31:00,Tony,the heat to go,heat go,heat go
48,523,0:31:00,Tom,could we put can we detect the heat that the      and therefore switch ,could put detect heat therefore switch,heat switch detect
49,526,0:31:00,Tom,or know what’s going on?,know going,going know
68,527,0:31:00,Tony,er that's only going to stop it  getting dangerously hot ,er going getting dangerously hot,hot dangerously er
69,529,0:31:00,Tony,     all we need to do for print quality and performance and things is to ,need print quality performance thing,quality print thing
70,530,0:31:00,Tony,keep those dots on the paper when they're being fired,keep dot paper fired,dot fired paper
531,531,0:31:00,AJ,the other thing which you will picture sort of to an extent that one as ,thing picture sort extent one,sort picture extent
532,532,0:31:00,AJ,well is the actual steering is actually at the moment the hand steers it ,well actual steering actually moment hand steer,steer moment steering
533,533,0:31:00,AJ,directly by making movements with the hand but if you had like a ,directly making movement hand,directly hand making
536,536,0:31:00,AJ,that then moved the angle of the print head errm that might work too but ,moved angle print head errm might work,moved work print
537,537,0:31:00,AJ,maybe a bit more expensive I suppose,maybe bit expensive suppose,bit expensive suppose
8,538,0:31:00,Robert,I think the interesting thing is to use is as they steer that its built into the ,interesting thing use steer built,thing steer built
9,539,0:31:00,Robert,steering actually tilts the whole body as it steers ,steering actually tilt whole body steer,steer tilt body
10,541,0:31:00,Robert,so in order to maintain that angle,order maintain angle,angle maintain order
11,543,0:31:00,Robert,it compensates for the lean of the rider into the corner,compensates lean rider corner,compensates corner lean
12,547,0:31:00,Robert,so if we had something like that you could steer this angle of the pen as it ,something could steer angle pen,pen angle steer
13,548,0:31:00,Robert,moves to the other end,move end,end move
71,550,0:31:00,Tony,its taken us probably three places we can go we can either well      its ,taken u probably three place go either well,place three probably
72,551,0:31:00,Tony,something you control or you take all the opportunities for control away ,something control take opportunity control away,control opportunity away
73,552,0:31:00,Tony,from people apart from moving around and you make the pen or whatever ,people apart moving around make pen whatever,moving pen make
74,555,0:32:00,Tony,erm or we give some feedback so that people know when they're ,erm give feedback people know,give erm feedback
75,556,0:32:00,Tony,doing the right thing,right thing,thing right
76,559,0:32:00,Tony,erm or the last one is it is possible to hold it the wrong way but it forces ,erm last one possible hold wrong way force,force wrong erm
77,560,0:32:00,Tony,you to hold it the right way possibly      ,hold right way possibly,hold possibly right
78,562,0:32:00,Tony,that's four things not three things,four thing three thing,thing four three
50,564,0:32:00,Tom,well for the the third you can make it somehow make it compliant to  I ,well third make somehow make compliant,make compliant somehow
51,565,0:32:00,Tom,know I know what you're saying but it would be difficult because you ,know know saying would difficult,difficult know saying
52,566,0:32:00,Tom,would overheat the edge of the print head if its not touching but there ,would overheat edge print head touching,touching overheat edge
53,567,0:32:00,Tom,could be some electronics maybe saying this end of the print heads ,could electronics maybe saying end print head,head print end
54,568,0:32:00,Tom,overheating it must be touching at the other end so I’ll switch this ,overheating must touching end switch,switch overheating end
79,569,0:32:00,Tony,yeah probably there must be some way of detecting that,probably must way detecting,detecting must probably
570,570,0:32:00,AJ,     can I just explore that last one in a little more detail because when ,explore last one little detail,explore detail last
571,571,0:33:00,AJ,organisations  making sure they can only be correct in one way so the ,organisation making sure correct one way,organisation correct making
572,572,0:33:00,AJ,design and shape of the thing so it can only be done in one way and that’s ,design shape thing done one way,shape design thing
573,573,0:33:00,AJ,the correct way because then there is less sort of learning to be done by ,correct way le sort learning done,sort le correct
574,574,0:33:00,AJ,the user and children I think if they are you know if they don't get the ,user child know get,child user get
575,575,0:33:00,AJ,results pretty quickly they'll just give up on it so it would be quite ,result pretty quickly give would quite,result quickly give
576,576,0:33:00,AJ,good shape of it would only let it work in one particular way,good shape would let work one particular way,good shape work
33,578,0:33:00,Charles,you could build it in different ways so you could have it so that there was ,could build different way could wa,wa build different
34,579,0:33:00,Charles,only one way of doing it,one way,one way
35,581,0:33:00,Charles,but then you can have switches on it so that supposing supposing it  ,switch supposing supposing,supposing switch
36,582,0:33:00,Charles,you've got the print head and three balls around it to support it with ,got print head three ball around support,head print support
37,583,0:33:00,Charles,pressure sensors on those balls so if the child presses harder it activates all ,pressure sensor ball child press harder activates,press harder pressure
38,584,0:33:00,Charles,the bearings and prints out a very heavy line ,bearing print heavy line,bearing heavy line
39,586,0:33:00,Charles,but if the child doesn't press hard then you activate every other one so you ,child doe press hard activate every one,hard press activate
40,587,0:33:00,Charles,get a faint line so   the actual kind of the the print head ,get faint line actual kind print head,kind head line
41,588,0:34:00,Charles,is isolated from what the child’s doing but the sensors ,isolated child sensor,child isolated sensor
42,590,0:34:00,Charles,attend to what the child’s doing and the thing responds accordingly,attend child thing responds accordingly,responds child thing
55,592,0:34:00,Tom,and so you can trick the child into doing,trick child,child trick
43,595,0:34:00,Charles,and you could also make it so that even if the child’s because erm,could also make even child erm,erm make child
44,596,0:34:00,Charles,its not direct you can make it sort of software so that even if the ,direct make sort software even,software make direct
45,597,0:34:00,Charles,child’s really uncoordinated basically you get a reasonable result but if the ,child really uncoordinated basically get reasonable result,reasonable uncoordinated result
46,598,0:34:00,Charles,child’s very coordinated you can actually do some quite sophisticated things,child coordinated actually quite sophisticated thing,sophisticated coordinated thing
600,600,0:34:00,AJ,you could even have sort of some feedback in terms of colour LEDs on ,could even sort feedback term colour led,led feedback sort
601,601,0:34:00,AJ,the pen saying that he's done a good or she's done a good job or ,pen saying done good done good job,good pen job
56,604,0:34:00,Tom,that's a bit  that's a bit peachy I think somehow,bit bit peachy somehow,bit peachy somehow
57,606,0:34:00,Tom,yeah you know because i if they're doing something and it produces a ,know something produce,produce know something
58,609,0:34:00,Tom,that's what they want and saying well done isn't really you know so what ,want saying well done really know,want really done
59,610,0:35:00,Tom,my parents taught me,parent taught,parent taught
611,611,0:35:00,AJ,you obviously have a specific parenting philosophy,obviously specific parenting philosophy,specific parenting philosophy
616,616,0:35:00,AJ,well I did warn you to be politically correct,well warn politically correct,correct politically warn
41,620,0:35:00,Jamie,     the dot and the ring you the dot if it goes off centre you know the dots ,dot ring dot go centre know dot,dot ring centre
42,621,0:35:00,Jamie,outside the ring the pen won’t work so you've got to come in,outside ring pen work got come,pen work ring
18,622,0:35:00,Sarah,could we sorry could we actually see what they're doing I mean are they ,could sorry could actually see mean,see mean actually
19,623,0:35:00,Sarah,drawing pictures or making invitations or Christmas cards or ,drawing picture making invitation christmas card,making drawing card
80,624,0:35:00,Tony,erm      we're going to try to deal with that a fair bit on Monday,erm going deal fair bit monday,fair erm bit
81,626,0:35:00,Tony,as well as electronics and some of the control and user interface features ,well electronics control user interface feature,user feature control
82,627,0:35:00,Tony,and things whereas this kind of functional end of the mechanics we'll ,thing whereas kind functional end mechanic,thing kind end
20,629,0:35:00,Sarah,it does affect a little bit ,doe affect little bit,affect bit doe
83,630,0:35:00,Tony,it does yeah you're right,doe right,doe right
60,633,0:36:00,Tom,yeah because its really hard to draw a picture with a mouse isn't it?,really hard draw picture mouse,picture mouse draw
47,636,0:36:00,Charles,you could have games built into it couldn't you? you could have ,could game built could could,built game could
48,637,0:36:00,Charles,something like colouring in could try and tell you on some screen or try ,something colouring could tell screen,screen colouring something
49,638,0:36:00,Charles,some sort of coordination task,sort coordination task,coordination sort task
84,640,0:36:00,Tony,there’s a huge amount of possibilities you could do mazes or anything with ,huge amount possibility could maze anything,maze possibility amount
644,644,0:36:00,AJ,once we’ve explored this in more detail we’ll come onto because the other ,explored detail come onto,detail explored come
645,645,0:36:00,AJ,thing that you use to make sure things are level that's come out in the sort of ,thing use make sure thing level come sort,thing sort make
646,646,0:36:00,AJ,DIY world is these laser levellers and things like that if you had like a little ,diy world laser leveller thing little,thing leveller diy
647,647,0:36:00,AJ,laser that made sure that it was level of some sort you know the child ,laser made sure wa level sort know child,made level sort
648,648,0:36:00,AJ,can actually see a line and that its at the right angle then because they can ,actually see line right angle,angle line actually
649,649,0:36:00,AJ,see that the line is right and then that would work ,see line right would work,work line see
651,651,0:36:00,AJ,although maybe they're a bit young for that  ,although maybe bit young,bit young although
14,652,0:36:00,Robert,you could project something onto the paper in front of the pen,could project something onto paper front pen,paper pen project
85,653,0:37:00,Tony,like dam busters     ,dam buster,buster dam
43,656,0:37:00,Jamie,just like star wars,star war,star war
86,659,0:37:00,Tony,sorry guys it was a long time ago,sorry guy wa long time ago,time long ago
15,662,0:37:00,Robert,erm I was going to say an optical mouse ,erm wa going say optical mouse,optical mouse erm
664,664,0:37:00,AJ, Jamie Tony ,jamie tony,jamie tony
44,665,0:37:00,Jamie, bad joke ,bad joke,bad joke
16,668,0:37:00,Robert,I was going to say an optical mouse if you lift it off the page you can ,wa going say optical mouse lift page,page optical wa
17,669,0:37:00,Robert,actually see its got the pattern it creates separates into two areas so its when,actually see got pattern creates separate two area,area creates separate
18,670,0:37:00,Robert,it’s actually on the surface two points meet,actually surface two point meet,surface point meet
671,671,0:37:00,AJ,the other thing is  sorry I stopped you there sorry say that again,thing sorry stopped sorry say,thing stopped say
19,672,0:38:00,Robert,if you lift an optical mouse,lift optical mouse,lift mouse optical
20,674,0:38:00,Robert,slightly off the page you'll see the pattern it creates,slightly page see pattern creates,pattern creates page
675,675,0:38:00,AJ,yeah sort of the triangle thing,sort triangle thing,sort thing triangle
21,676,0:38:00,Robert,is in two sort of distinct spots,two sort distinct spot,distinct sort spot
22,678,0:38:00,Robert,and when its actually sat on the surface they match up and that's when it ,actually sat surface match,surface match sat
23,679,0:38:00,Robert,starts tracking ,start tracking,start tracking
24,682,0:38:00,Robert,well perhaps it’s not,well perhaps,perhaps well
87,683,0:38:00,Tony,turn the light on I don’t know how to operate,turn light know operate,turn light operate
25,684,0:38:00,Robert,yeah well if you left it a few minutes,well left minute,left minute well
685,685,0:38:00,AJ,the other thing I don't know if that's what you meant Tony when you ,thing know meant tony,tony meant thing
686,686,0:38:00,AJ,talked about the little light in front of the pen but if there's sort of ,talked little light front pen sort,sort talked front
687,687,0:38:00,AJ,feedback from the print head to know its in the right angle and then the ,feedback print head know right angle,print head angle
688,688,0:38:00,AJ,light goes on only but only when the print head is on there's this little light ,light go print head little light,light print head
689,689,0:38:00,AJ,comes on so the child gets his feedback that way oh its in the right ,come child get feedback way right,feedback child get
690,690,0:38:00,AJ,direction so I can draw,direction draw,direction draw
26,691,0:38:00,Robert,I think if I was in their shoes using this I'd prefer they’d be something where ,wa shoe using would prefer would something,wa prefer shoe
27,692,0:39:00,Robert,I decide whether its in the right position or whether I want something ,decide whether right position whether want something,decide position want
28,693,0:39:00,Robert,lighting up and saying der derrr  ,lighting saying der derrr,der derrr lighting
29,695,0:39:00,Robert,that kind of thing ,kind thing,kind thing
696,696,0:39:00,AJ,well there's a bit of training there isn't it,well bit training,bit training well
30,697,0:39:00,Robert,true but it its kind of patronising to have these sort of lights,true kind patronising sort light,sort patronising kind
21,700,0:39:00,Sarah,its not a comforting a comforting noise,comforting comforting noise,comforting noise
22,704,0:39:00,Sarah,its not its not its not a      comforting noise,comforting noise,comforting noise
705,705,0:39:00,AJ,     my wife doesn't know I stole it ,wife doe know stole,doe wife stole
707,707,0:39:00,AJ,also quite relevant because that's a product from  ,also quite relevant product,product relevant also
709,709,0:39:00,AJ, stabilser  that's just come out,stabilser come,stabilser come
31,710,0:39:00,Robert,if I run upstairs I’ve got one of those in my drawer,run upstairs got one drawer,run upstairs drawer
61,715,0:39:00,Tom,there are pens that you do have to hold in a certain orientation,pen hold certain orientation,pen hold orientation
23,716,0:40:00,Sarah,yeah I think that's what I tried its really hard because I don't hold my pen ,tried really hard hold pen,pen hard hold
24,717,0:40:00,Sarah,in the way that they expect you do ,way expect,expect way
718,718,0:40:00,AJ,they expect you to some people write like this don't they?,expect people write,expect people write
25,719,0:40:00,Sarah,that's what  I join my fingers up at the top where as that one expects that ,join finger top one expects,join expects finger
721,721,0:40:00,AJ,that's because you didn't have that pen when you were little,pen little,pen little
723,723,0:40:00,AJ,if you had had it you would write in the right way rather that the wrong ,would write right way rather wrong,write wrong rather
50,724,0:40:00,Charles,you would do it properly,would properly,properly would
62,728,0:40:00,Tom,you get inking pens that are really hard to use because they look they look ,get inking pen really hard use look look,hard pen inking
63,729,0:40:00,Tom,like little they they they go straight down like that,little go straight,straight go little
88,732,0:40:00,Tony,     you could have thumb holes or something like that,could thumb hole something,hole thumb could
26,733,0:40:00,Sarah,this this this one that's  this one has sort of that sort of thing,one one ha sort sort thing,sort ha thing
45,734,0:40:00,Jamie,it doesn't force you to use it but it ,doe force use,doe force use
51,736,0:40:00,Charles,     print heads,print head,head print
737,737,0:40:00,AJ,yeah we'll come to that in a minute,come minute,minute come
64,738,0:41:00,Tom,     to use straight up and down otherwise they don't  otherwise they ,use straight otherwise otherwise,straight otherwise use
65,739,0:41:00,Tom,don't work because they work thr they th they're like a little er tube and ,work work thr th little er tube,work tube er
66,740,0:41:00,Tom,when you push on it it opens a valve which lets the which lets the ,push open valve let let,valve open push
52,742,0:41:00,Charles,is that those gold and silver type things that people use  for making cards ,gold silver type thing people use making card,thing people type
67,743,0:41:00,Tom, no  it's like you get them for drafting pens I think work like that ,get drafting pen work,drafting work pen
68,744,0:41:00,Tom,they've got they're like that because they they come in different bits of ,got come different bit,bit come different
69,745,0:41:00,Tom,tube and they give you a very accurate width of line ,tube give accurate width line,tube line accurate
70,747,0:41:00,Tom,OK but you can't you cant use them in any orientation you have to use in ,ok cannot cant use orientation use,orientation ok cannot
71,753,0:41:00,Tom,and so if you put it on the edge the you would go on the edge of the ,put edge would go edge,edge put go
72,754,0:42:00,Tom,tube and it just it would just sort of it just the edge just goes on you'll ,tube would sort edge go,tube sort edge
73,755,0:42:00,Tom,never get it you just crease the paper,never get crease paper,crease paper get
53,757,0:42:00,Charles,the good thing about this is you get feedba feedback's inherent isn't it if ,good thing get feedba feedback inherent,inherent thing feedba
54,758,0:42:00,Charles,you're not doing it properly it wont work,properly wont work,properly wont work
74,759,0:42:00,Tom,yeah well that's a point actually,well point actually,point actually well
75,761,0:42:00,Tom,it'll probably it'll probably be that if you do it on the edge ,probably probably edge,edge probably
76,763,0:42:00,Tom,the print head will be close enough to be to the edge of the  PCB  and ,print head close enough edge pcb,pcb print close
77,764,0:42:00,Tom,you'll lift the whole the whole thing off so you probably wont be able to ,lift whole whole thing probably wont able,thing wont lift
78,765,0:42:00,Tom,do this this sort of touch towards the edge  because the  print head the ,sort touch towards edge print head,touch print edge
79,773,0:42:00,Tom,so yes yeah that that is a point actually because its   yeah,point actually,point actually
774,774,0:42:00,AJ,how do you think its gone off? how do you think that's generous in ,gone generous,generous gone
89,776,0:43:00,Tony, just the kind of thing that you could do  with the styling so it just ,kind thing could styling,thing kind styling
90,777,0:43:00,Tony,feels right you not do you are limited to what you can do if you put your ,feel right limited put,feel limited put
91,778,0:43:00,Tony,fingers in the wrong place,finger wrong place,finger place wrong
92,780,0:43:00,Tony,and if we cut all that for I mean this version it could be much chunkier ,cut mean version could much chunkier,cut chunkier version
93,782,0:43:00,Tony,and this thing could go in the hole this lot could go in the hole and perhaps ,thing could go hole lot could go hole perhaps,hole lot thing
94,783,0:43:00,Tony,you can mirror it so it works for left handed people as well but you could ,mirror work left handed people well could,people mirror work
95,784,0:43:00,Tony,just make a hole to hold it in either way you'd have to certainly with the ,make hole hold either way certainly,hole hold make
96,785,0:43:00,Tony,first go realize where to put their fingers it might not even work if one of ,first go realize put finger might even work one,work finger realize
97,786,0:43:00,Tony,their fingers isn't in the right hole,finger right hole,finger hole right
46,790,0:43:00,Jamie,also you feed it back to the wrist,also feed back wrist,wrist back feed
47,792,0:43:00,Jamie,there’s all different things,different thing,thing different
27,793,0:43:00,Sarah,yeah      hand sizes as well,hand size well,hand size well
48,794,0:43:00,Jamie,you know you could you feed it back so its kind of like a watch or ,know could feed back kind watch,kind feed back
49,795,0:43:00,Jamie,something on your wrist,something wrist,wrist something
796,796,0:43:00,AJ,well you could have a battery pack in that couldn't you,well could battery pack could,battery pack could
80,800,0:44:00,Tom,if you what you do instead is if you've got      here,instead got,got instead
81,809,0:44:00,Tom,if you've got if you've got a switch there there there and there and it only ,got got switch,switch got
82,810,0:44:00,Tom,works if all four switches are down and those switch positions guarantee ,work four switch switch position guarantee,switch position work
98,812,0:44:00,Tony,yeah that's the control      approach isn't it?,control approach,approach control
50,813,0:44:00,Jamie,yeah that's the yeah and you design it in such a way that that's a ,design way,design way
51,814,0:44:00,Jamie,reasonably comfortable position and if you don't put it in that position it ,reasonably comfortable position put position,position comfortable put
52,815,0:44:00,Jamie,doesn't work,doe work,doe work
53,816,0:44:00,Jamie,it’d be nice though if you naturally pick it up and it works,nice though naturally pick work,pick naturally nice
83,817,0:44:00,Tom,yeah but that's you can do the two together can you?,two together,together two
54,818,0:44:00,Jamie,yeah we could have a look,could look,could look
819,819,0:44:00,AJ,the other thing to to think about is in  almost all cases when I look at pens ,thing almost case look pen,pen thing case
820,820,0:44:00,AJ,the apart from re wired sort of micropens the th  tip is actually the ,apart wired sort micropens th tip actually,tip sort wired
821,821,0:45:00,AJ,narrowest part of the product whereas in what we're looking at it could ,narrowest part product whereas looking could,part narrowest product
822,822,0:45:00,AJ,actually be as wide or wider ,actually wide wider,wide wider actually
55,825,0:45:00,Charles,so its more like a paintbrush isn't it? like a DIY paintbrush,paintbrush diy paintbrush,paintbrush diy
99,827,0:45:00,Tony,it’s more like a roller like a roller yeah,roller roller,roller
830,830,0:45:00,AJ,if you had like if you if you had it connected to one side like that ,connected one side,connected side one
831,831,0:45:00,AJ,or a  it would be here the print head you could have then going to ,would print head could going,print head could
835,835,0:45:00,AJ,it would have flexibility because of the metal on which it's hinged if you ,would flexibility metal hinged,flexibility hinged metal
100,837,0:45:00,Tony,yeah I think      actually I wonder if you intuitively know how to use a ,actually wonder intuitively know use,intuitively know actually
101,838,0:45:00,Tony,roller because you're older than eleven and      intuitive if you've never seen ,roller older eleven intuitive never seen,eleven roller intuitive
55,840,0:45:00,Jamie,my two year old rolls paints,two year old roll paint,roll year paint
56,842,0:46:00,Jamie,OK I’ll shut up,ok shut,shut ok
57,844,0:46:00,Jamie,very liberal household but I think it could be the pen I mean it could be we ,liberal household could pen mean could,liberal pen household
58,845,0:46:00,Jamie,could shape it so it does make it like a finer tip,could shape doe make finer tip,shape finer tip
846,846,0:46:00,AJ,yeah but there's an inherent size issue with holding it this way isn't there,inherent size issue holding way,size issue holding
849,849,0:46:00,AJ,because you're not going to have you you you used to have these pens ,going used pen,pen going used
850,850,0:46:00,AJ,that were  ginormous and it had lots of different pens inside it ,ginormous lot different pen inside,lot inside pen
853,853,0:46:00,AJ, yeah and they're all like this round and it made it really difficult to write ,round made really difficult write,round write difficult
854,854,0:46:00,AJ,with  at the right angle so I think there is an issue about how big or how ,right angle issue big,angle big issue
102,858,0:46:00,Tony,you might not hold it     ,might hold,hold might
103,862,0:46:00,Tony,yeah      I think that's worth considering it actually,worth considering actually,worth actually considering
56,864,0:47:00,Charles,sorry what’s that Chris?,sorry chris,chris sorry
865,865,0:47:00,AJ,the not having it in a pen shape the not holding it like a pen but actually ,pen shape holding pen actually,pen shape holding
866,866,0:47:00,AJ,holding it in a different way like that or ,holding different way,holding different way
84,867,0:47:00,Tom,yeah there are two there are two sides to this I think either you want to ,two two side either want,side either two
85,868,0:47:00,Tom,teach children to hold a pen properly ,teach child hold pen properly,properly pen child
57,871,0:47:00,Charles,if you wanted to do that you'd give them a     ,wanted give,give wanted
86,873,0:47:00,Tom,yeah but you've got to be taught how to hold a pen,got taught hold pen,taught hold pen
28,876,0:47:00,Sarah,a lot better as      write like this as well,lot better write well,lot write better
878,878,0:47:00,AJ, different people will write  ,different people write,people write different
59,879,0:47:00,Jamie,with not smudging the ink,smudging ink,ink smudging
881,881,0:47:00,AJ,different people will hold the pen between these two fingers and write like ,different people hold pen two finger write,people pen write
887,887,0:47:00,AJ, hang on  five minutes ago you thought you were alright,hang five minute ago thought alright,minute thought ago
87,888,0:47:00,Tom,if my son holds the pen like that I think that's a,son hold pen,hold pen son
29,893,0:48:00,Sarah,is it a training aid or toy that we're      is it for fun ,training aid toy fun,aid fun toy
896,896,0:48:00,AJ,its mainly really for fun really I think erm,mainly really fun really erm,erm fun mainly
58,897,0:48:00,Charles,because if you want to teach a child something about pens you'd give ,want teach child something pen give,teach pen child
59,898,0:48:00,Charles,them a pen wouldn't you,pen would,pen would
88,900,0:48:00,Tom,no well it depends it  could be fun it could teach you something,well depends could fun could teach something,teach fun depends
902,902,0:48:00,AJ,an added bonus I suppose,added bonus suppose,added bonus suppose
104,903,0:48:00,Tony,it could teach you something else its going to be quite a fat lump probably ,could teach something else going quite fat lump probably,lump teach fat
105,904,0:48:00,Tony,so it’s not going to be that kind of pen that you use in future,going kind pen use future,pen kind future
106,906,0:48:00,Tony,so it doesn't feel much like a pen,doe feel much pen,doe feel pen
60,907,0:48:00,Jamie,you know it could I think it could be more of a decorator’s thing you know ,know could could decorator thing know,decorator thing could
61,908,0:48:00,Jamie,if you want to put a row of smilies in,want put row smilies,put row smilies
62,910,0:48:00,Jamie,     paper and pen along the edges of you know ,paper pen along edge know,paper pen edge
63,914,0:48:00,Jamie,you're never gonna draw a whole pic you're never gonna draw  paint the ,never gonna draw whole pic never gonna draw paint,gonna draw pic
64,915,0:48:00,Jamie,Sistine chapel ,sistine chapel,chapel sistine
107,916,0:48:00,Tony,no you'd need more batteries,need battery,battery need
65,918,0:48:00,Jamie,its more of sort of decorative kind of features ,sort decorative kind feature,decorative feature kind
66,920,0:49:00,Jamie,things like that you know,thing know,thing know
89,921,0:49:00,Tom,there’s another degree of freedom to this thing if you go fast it will be a ,another degree freedom thing go fast,freedom fast thing
90,922,0:49:00,Tom,paler colour if you go slowly it will be darker wont it?,paler colour go slowly darker wont,slowly wont colour
108,924,0:49:00,Tony,yeah if you go fast well maybe  if you go fast if there's no feedback from ,go fast well maybe go fast feedback,fast feedback go
109,925,0:49:00,Tony,the paper it doesn’t matter how fast its going ,paper doe matter fast going,matter paper doe
