Line,Time,Speaker,Discussion
585,,Angela,well the mirrored glass is what we’re looking at doing having 
586,,,installation of a mirrored glass system whereby people wouldn’t 
587,,,actually see you sitting in there working it typing tapping things in so 
588,,,that’s one of the things that we felt perhaps for our existing chapel that 
589,,,we were keen on doing
590,,Chris,I mean this [begins to point] idea was based on our existing chapel it’s not 
591,,,going to work is it in our existing chapel as we thought it would
592,,Angela,no we have an awful lot of additional electronics that systems 
593,,,recording systems so that we can play all sorts of tapes musics 
594,,,et cetera erm recording the funeral as well we’re planning to record 
595,,,funerals for families on to CD disks and also the possibility of relaying 
596,,,the funeral over the web to other people that can’t make the funeral as 
597,,,well and that system is going to be up and running in our chapel so the 
598,0:40:00,,spaghetti and all the other software is quite vast and is at the moment 
599,,,sort of spoiling the appearance of our chapel + at the moment
600,,,and so we want to move it into a room that can’t be seen and hide it 
601,,,really that’s what we’re doing
602,,Adrian,that was the intention of that room that’s er-
603,,Angela,indeed and that was er yes yes so we’re looking at you know the 
604,,,concern I’ve got is in a sense that what I would like is just to have the 
605,,,organ here and everything else to do with the music system that we 
606,,,would work CD player MP3 player whatever now that we’re going to 
607,,,be doing is all in there
608,,Adrian,I think we’re thinking along the same lines I mean that was certainly 
609,,,my intention to have a minimum of controls in here [begins to point] the 
610,,,point I’m not quite getting my head around is whether you would want 
611,,,the person who controls this to be in here or sitting here certainly if he’s 
612,,,sat here he or she’s sat here then they could just operate a few controls 
613,,,that would remotely operate all the equipment in there and they would 
614,0:41:00,,obviously be part of the service but not necessarily clicking away on the 
615,,,keyboard the keyboard and stuff can certainly /be hidden in there\
616,,Angela,/be hidden in there\ OK
617,,Adrian,if they need to go away and do that they can sh- shut themselves in and 
618,,,do it
619,,Angela,OK
620,,Adrian,erm do you think that would work that way round
621,,Angela,yes I mean it wouldn’t be impossible yes I mean it was just the 
622,,Chris,I think there is because while they’re there [begins to point] I guess 
623,,,they’re not helping in dealing with this service but looking at the future 
624,,,services
625,,Angela,yes they’re getting ready prepared they might have had a disk brought 
626,,,in or there might be a request to sort of down I mean we could get it 
627,,,within the service times that’s the only thing
628,,Chris,and the other bonus of them not being actually sitting in there was that 
629,,,they could communicate then outside the other issue we looked at was 
630,,,because this person erm [begins to point] also is monitoring in the ideal 
631,0:42:00,,world what’s happening out here and what’s happening out here so ah 
632,,,they’re not only dealing with this the current funeral but the previous one 
633,,,and the one to come
634,,Angela,see when they’re arriving
635,,Adrian,[begins to sketch] the answer is then to have a door there
636,,Chris,a door
637,,Adrian,maybe a window 
638,,Chris,a window
639,,Adrian,and they can
640,,Chris,and a window this way
641,,Angela,to see when the next one’s arriving so you can see that the other one 
642,,,has arrived and they can get ready for that they can go out to the 
643,,,minister and go come on hurry up [laughs] so that’s what they what they 
644,,,what the staff would like would be to see the access at the moment 
645,,,because of [begins to point] the existing chapel we’re adding a room on to 
646,,,the back possibly they’ll be able to see down to the drive to see the next 
647,,,funeral arriving and know that it’s here and so that that’s that’s quite we 
648,,,thought about cameras and all sorts of things for that so that now would 
649,,,possibly do away with the thought of having cameras down the drive to 
650,0:43:00,,see the next funeral arriving and that’s why er the thought of having the 
651,,,door here might be better for us but I don’t know how that upsets the 
652,,,feeling of what you’ve got here and where the roof space is in a sense 
653,,,there the roof carries over from here doesn’t it
654,,Adrian,yes the roof flies over I would be resistant to having a 
655,,Angela,yes
656,,Adrian,door there because I think it would spoil the you know the chapel
657,,Angela,it’s not a door but a small room for the music room the music room is
658,,,sort of swinging round a bit here instead but I don’t know how that 
659,,,would spoil the feeling for that not wanting to disrupt too much
660,,Adrian,yes if I could go back to the architectural concept [pulls out drawing] on 
661,,,that show you where I’m coming from I’ve done these concept diagrams 
662,,,to try and explain how what holds the architecture together because the 
663,,,building as I mentioned before is a combination of four strips of what we 
664,,,call servant space which are low spaces and three strips of served space 
665,,,which are the barrel vaulted spaces and you put those together and you 
666,,,get this combination of ser- servant served servant served servant 
667,,,served and servant so I’ve been trying my hardest to keep all the 
668,,,important spaces like the chapel and things (  ) entrance so on 
669,,,and so forth vestry and the major staff rooms that more important 
670,,,spaces under the barrel vaults and keep all the supporting 
671,,,accommodation under the served if we then went back to the plan 
672,,,having explained that [replaces drawing] you know what I can do to 
673,,,make your idea work is to suggest that we do something like this [begins 
674,,,to sketch] and make this all perhaps one room and put a window in there 
675,,,and then you can get access through here and you can get a view out that 
676,,,way erm you could have a door this side if that helps you but erm I think 
677,,,that might satisfy your needs +++
678,,Chris,it probably needs to be open in terms of 
679,0:45:00,Adrian,mutually (  ) glazed or do you want a view is that the sort of thing you 
680,,,want 
681,,Chris,yes
682,,Angela,you don’t want a door because that would just mean the funeral 
683,,,directors in and out in and out all the time and they should be in there 
684,,,anyway
685,,Chris,well [points] no I mean there
686,,Angela,from this side I don’t want particularly a door [points] because it’s also 
687,,,going to
688,,Adrian,a short cut yeah
689,,Angela,it’s also going to [begins to point] interrupt this flow of space here as well 
690,,,isn’t it a door people sort of popping in and out there it looks like that 
691,,,might be the entrance to the chapel or not too sure so the less doors we 
692,,,have I mean the door that you want is just the exit door if you put 
693,,,another door up there people are going to start thinking you know 
694,,,we’re late for the funeral if we tap on this door here rather than going 
695,,,round to the right door it would be all over the place really the more 
696,,,doors we have the more confusing it gets for people one door in one 
697,,,door out basically is the easiest route for people add another door and 
698,,,they’ll just go oh what’s that + there was a toilet there that was quite-
699,,Adrian,you’ve still got another toilet there
700,,Angela,that’s OK
701,0:46:00,Adrian,I gave you two before but maybe you only need one I mean you’ve got 
702,,,two [points] at the entrance another one here so there’s not actually any 
703,,,shortage of loos so 
704,,Angela,OK yes yes that would be fine
705,,Adrian,we could do that ++ and then-
706,,Angela,what were your thoughts Chris on that do you think that’s + I mean I 
707,,,think that would be +++ (you see the next)
708,,Chris,hmmm the only concern I’ve got is [begins to point] if we’re moving a 
709,,,person from inside to here ++++ it’s how they monitor what’s going on 
710,,,here from this position + the advantage of having it here is the door can 
711,,,be open + unless they’re doing something noisy then just close the door
712,,Angela,yes
713,,Chris,er it’s then how they monitor what’s going on here I don’t know how 
714,,,theatre technicians do that are they completely enclosed or have they 
715,0:47:00,,got some sort of sliding window type of thing so that they can slide it 
716,,,shut +++ er I mean I know sound engineers are in the they like to be 
717,,,within the audience but I mean we’re not at that level
718,,Angela,not yet [all laugh] feels a bit like that at the moment yes it 
719,,,feels like there will be mixing desks that’s all we need ++
720,,Adrian,well there might be another way of looking at this if you specifically 
721,,,wanted a theatre technicians room then I could look into putting another 
722,,,sort of bold architectural shape in this vicinity that might satisfy what 
723,,,you’re looking for where the guy would literally sit in there and he 
724,,,would look straight forward perhaps through some covered glass 
725,,,or mirrored glass or whatever erm ++ and I might still be able to integrate 
726,0:48:00,,it into the architectural form I’ve got other bold forms on this axis I’m 
727,,,thinking I might be able to do something here that might satisfy that 
728,,,need erm without making it look like an afterthought that’s not what I 
729,,,imagined this elevation would look like at all +
730,,Chris,no I mean it might be- ++
731,,Adrian,if you don’t think this could work I mean I’m still struggling to get my 
732,,,head around exactly how you see this working coz I always thought 
733,,,that we’d need an organ here anyway would we not 
734,,Chris,an organ is now a very rarely used
735,,Angela,rarely used item
736,,Adrian,would you not want an organ
737,,Angela,well I + I don’t know it’s difficult to say not I mean most of (  ) 
738,,,could bring a keyboard in in a sense so it’s not + hmm difficult I 
739,,,would have to say that we wouldn’t need an organist but at the same 
740,0:49:00,,time people expect us to get one they expect one to be here just for the 
741,,,thought of they don’t like the idea of us playing a CD for a hymn 
742,,,instead +++
743,,Adrian,so so there’s this this a need for something there which would relate to 
744,,,AV in some way 
745,,Chris,well I mean the other thing is if if there’s going to be slideshows video 
746,,,which is increasingly becoming you know people almost expect it that 
747,,,they I mean I’ve seen it at church services where for funerals where 
748,,,people have had you’ve walked into before a service a er a series of stills 
749,,,of the persons life erm and I think sort of thing is going to increase videos 
750,,,or there’s certainly erm books of photographs or display of photographs at 
751,0:50:00,,the back of a service things like that
752,,Angela,yes we’ve had a lot of cine films being played of people cause they’re 
753,,,obviously that sort of age perhaps or videos or sometimes they wanted 
754,,,their favourite video played we’ve had one or two sort of disney films 
755,,,played for the children’s funeral where there’s a lot of children they 
756,,,want a little bit of music played that’s on a video they’ve got so they’ve 
757,,,brought the video in to be played for the musics
758,,Adrian,[sketches] do we need some sort of surface around here where you can 
759,,,put a book or something that might form of this end elevation erm do we 
760,,,need some-
761,,Chris,no I-
762,,Angela,no
763,,Chris,I I think what we need is the flexibility in this space so the current 
764,,,chapel of course is not particularly flexible [points] this is all fixed 
765,,,pews there is for and against fixed pews isn’t there err-
766,,Angela,yes there is we do have this area here that they can put memorial 
767,0:51:00,,books for people to sign they can go in and sign them and then back 
768,,,out again so that’s not I’d quite like to use that space we’ve got
769,,Chris,yes it’s just yeah if we’re going to use if we’re going to have a 
770,,,screen for projected video whatever + whoever is operating that it might 
771,,,be the family I suppose but it might be you know they say have you 
772,,,got a video projector yes no what obviously operating that the person 
773,,,has got to know what’s going up on it and it’s working 
774,,Adrian,yeah
775,,Chris,so they’ve got to be in sight of it now I ass- I don’t know how we 
776,,,assume that would work in this arrangement
777,,Adrian,what I had in mind was that perhaps I need to draw on this section to 
778,,,show what it looks like [searches for drawings] + excuse me while I get 
779,,,my act together [searches for drawings]  I’ve got a sectional drawing here 
780,0:52:00,,somewhere + here we are right [pulls out drawing] at the bottom this 
781,,,shows that the shape of the chapel and what I wanted to
782,,,describe to you was what it might look like when you’re looking up at 
783,,,the catafalque [begins to sketch] because the catafalque itself will be like a 
784,,,cylinder poking through the chapel at the end like this have a large 
785,,,opening this will inside have its own and they’ll be a pyramid light or 
786,,,whatever so they’ll be light pouring into it like this but as regards the 
787,,,(internal) elevation of the chapel you will see the external you’ll see the 
788,,,form of the catafalque looking like this and I’ll just draw a curve in front 
789,0:53:00,,of it so you get an idea of what’s happening something like that this 
790,,,leaves you some large wall surfaces each side which are flat and at the 
791,,,bottom of them there maybe will be a space for a nice table where you 
792,,,could put books you could even have some plants or something but 
793,,,you’ve got the opportunity to have two perhaps parallel and matching 
794,,,screens that might be showing images of the person whose funeral it is at 
795,,,the same time you have a very dominant wall here where if you wanted 
796,,,for a religions person you could mount a cross or something something of 
797,,,that nature which could be removed for a non-religious person OK that’s 
798,,,how I saw it working does that sound OK [pulls out drawing]
799,,Angela,yes that’s what we’re looking for but the concern that we have at the 
800,,,moment is whoever is operating and perhaps working some of this the 
801,0:54:00,,video they need to be able to see sort of in a sense rather than just at an 
802,,,angle so what what in an ideal world and I don’t want to compromise 
803,,,your design the door the viewing room at the existing site which is very 
804,,,similar to this we are putting on here so that we can then see down that 
805,,,way so I’m trying to think of a way that we can get them to look 
806,,,through maybe at this angle through here that’s what I’m looking at so 
807,,,they’re able to view near enough both sides of the chapel
808,,Adrian,yeah [begins to sketch] I wonder if it’s possible to do something like that 
809,,,where they’d have a sort of vision spot through there
810,,Angela,yes
811,,Adrian,I mean if I made this feel like a room with its own lid on it that was 
812,,,inside the chapel that was just token toke tucking its nose into the 
813,,,chapel we might be able to get it to work it does go slightly against the 
814,,,grain for me to do that but it does satisfy what you wanted and it means 
815,,,that we could link this up to it actually so- ++++++
816,0:55:00,Angela,OK is that too heartbreaking for you [all laugh]
817,,Adrian,well it’s not as pure a summation as I was looking for but I mean 
818,,,maybe there’s another way of doing it maybe if I keep my thinking cap 
819,,,on because you can see I’m trying to keep the spaces pure the 
820,,,purer the space the more spiritual I think it will be the more you mess 
821,,,around with it 
822,,Chris,yes
823,,Angela,well that’s what we’ve found here you see we’re adding there’s like 
824,,,what I call a strap on all the time we keep adding little bits on to the 
825,,,building we’ve got the air-conditioning units
826,,Adrian,yeah I know
827,,Angela,you’ve got the different way of the planter in the chapel for me and so 
828,,,I want it to be nice straight smooth lines and I want it as nice as 
829,,,possible and I mean it’s just trying to work how to do that in a way I 
830,,,mean whether we have perhaps cameras or something I don’t know 
831,,,something in the way I don’t know the concern I’ve also got is I 
832,,,don’t know adding more to it if people are walking in I don’t know if 
833,,,people want to see if there’s a mirrored glass window in front of them 
834,,,whether they want to see to see reflections of themselves walking in 
835,,Adrian,hmmm
836,0:56:00,Angela,which is the other concern I’ve got in a sense do they actually want to 
837,,,see themselves walking in will they get themselves you know I don’t 
838,,,know so there’s this I don’t think it’s I don’t think it’s unsolvable 
839,,,through technology I’m sure we could solve it somehow either through 
840,,,cameras or other things it’s just that we’ve found this problem of 
841,,,viewing down into the chapel really 
842,,Chris,I mean the difficulty of putting someone separate in here is the volume 
843,,,as well isn’t it 
844,,Angela,yes we can’t hear what the volume is
845,,Chris,how do they adjust the volume if they’re not 
846,,Adrian,yes I would say [points] they need to be there really I mean I thought
847,,Chris,yes and maybe they need to be 
848,,Angela,in close from that
849,,Chris,so that they can’t be seen so it’s just their head sticking out over the 
850,,,top ++ maybe that’s the answer I mean it could be that 
851,,Angela,we don’t have
852,,Chris,a larger space is required 
853,,Angela,or we take the organ out don’t have the organ and use the space for 
854,0:57:00,,just the music system in a sense +++
855,,Chris,well how big does an organ have to be
856,,Angela,not very big at all now I mean the one we’ve got is sm- not that big at 
857,,,all it could be smaller even and some of them just have keyboards
858,,,you know I don’t know  if we didn’t have an organ then that facility is 
859,,,not available I mean it’s as simple as that really
860,,Adrian,[sketches] I keep coming back to some sort of other bold form here that 
861,,,might +do it erm ++ you’re looking for a space here + where some guy 
862,,,can + sit and do his business and view through without being seen aren’t 
863,,,you +++
864,,Chris,hmmm 
865,,Adrian,I mean if we have glass to the edges then it doesn’t work here because 
866,,,it’s behind the door 
867,0:58:00,Peter,you have sliding windows in the theatre don’t you
868,,Angela,yes ++
869,,Adrian,I don’t know trying to find some means of delivering what you want ++
870,,Chris,and we need to rethink what we want on this because + we don’t really 
871,,,we haven’t got a real handle on how much the technology actually has 
872,,,to be here but I think it’s going to be a PC 
873,,Angela,yeah ++ are we-
874,,Chris,I mean you’re talking about remote + if you’re talking about CDs and 
875,,Angela,and what’s next from CD is the MP3 sort of side of it and the WAV 
876,,,system that they’ve got you know things like that that are coming into 
877,,,it and so you know as technology moves on I can see-
878,,Chris,yes but is all that controllable from a single PC
879,,Angela,single PC
880,,Chris,I mean we are talking about it as a single PC because if you’re 
881,,,recording you have to have + you can just record digitally on to hard 
882,,,drive don’t you
883,0:59:00,Angela,yes
884,,Chris,if you’re then going to produce + a DVD or whatever from that 
885,,,information you don’t need to do that at the same time 
886,,Angela,no no we (  )
887,,Chris,you can go into the room and do that later 
888,,Angela,I mean in theory you’d record every service because do
889,,Chris,yes but you’d do it on to a hard drive
890,,Angela,yes because yeah not on a tape like they do at stevenage a cassette 
891,,,tape ++
892,,Peter,I’ve got the cameras if you want to- 
893,,Angela,and then after three months tape over the funerals if people haven’t 
894,,,requested it and then Anthony said well what happens if one of the 
895,,,services has longer you know you given it then to the (  ) do you 
896,,,check do you clear it completely or do you just overtape them so that 
897,,,you come to end of one service on the tape and you listen to it and then 
898,,,you’ve got the existing why put it on a tape well everyone has got a 
899,,,tape machine they said we all went have they nobody’s got one 
900,,,anymore and so I yes I don’t I I feel we’re making a fuss over perhaps 
901,1:00:00,,an area that we don’t need to perhaps now
902,,Chris,yes I think we’re looking at current
903,,Angela,we’re looking at current exists in our minds
904,,Chris,rather than future
905,,Angela,yes whereas in the future it might not really it might be that’s 
906,,,possibly more than enough really we’re talking about how quick we can 
907,,,keep up with the technology side of it and how big how as as- you know 
908,,,CDs have gone down to this much now you know how big the 
909,,,equipment will be that will need to press the start and record will be 
910,,,probably about that big soon
911,,Adrian,well that’s exactly the point I was going to make it may be in another 
912,,,few years someone dressed smartly can sit on the back pew with a tiny 
913,,,palm pilot and control everything 
914,,Angela,that’s it so that’s you know that’s what we’re looking at compared to 
915,,,[talks over]
916,,Chris,yes
917,,Angela,maybe we’re just going because what we’ve got to try and do is to 
918,,,think this isn’t the same as what we’ve got now we’ve got to stop 
919,,,doing that perhaps we’re thinking about it as now I think I think it will be 
920,,,more than fine as it is it’s just that we’re just thinking about how we 
921,1:01:00,,would look out into the chapel and see all this thing going on really and 
922,,,I think wouldn’t be difficult for us to do so 
923,,Adrian,but certainly the idea of having someone at the back here 
924,,,I’ve been to funerals at the present chapel and I never found it 
925,,,intrusive 
926,,Angela,no
927,,Adrian,someone sitting there you kind of expect it you kind of feel more 
928,,,reassured in a way where you know there’s someone overlooking 
929,,,what’s going on in case there’s some sort of problem of some kind erm +
930,,Angela,but what you don’t want them to do is play the music wrong like they 
931,,,did for your friends funeral
932,,Adrian,I know turn the volume down
933,,Angela,turn the volume down
934,,Adrian,during karl jenkins the armed man do you know the Benedictus do 
935,,,you know the armed man
936,,Peter,no I don’t
937,,Adrian,it starts off beautifully softly and suddenly the choir comes in 
938,,,fortissimo and the effect is tremendous 
939,,Angela,that was the idea wasn’t it
940,,Adrian,the technician turned the volume down as soon as the fortissimo came 
941,,,in
942,,Angela,they only wanted to hear it as loud you see so it wasn’t conveyed to us 
943,1:02:00,,and he thought ohhh better turn it down very loud they’ll get upset 
944,,,you know so he turned it down 
945,,Adrian,it completely spoiled the whole thing
946,,Angela,the effect so you know
947,,Adrian,deary me
948,,Angela,yeah I mean I don’t- there’s a possibility that when we start to 
949,,,actually start to do this we won’t have an organ if we don’t have an 
950,,,organ that won’t on offer in a sense you know if we put an organ there 
951,,,it might be used once or twice a week less than that so it might be that 
952,,,we don’t put an organ there and that’s it you know you don’t have a 
953,,,choice unfortunately we’ve got CDs that sound like an organ so we can 
954,,,use that space for other things
955,,Adrian,sure it makes sense to me to provide some sort of erm joinery there which 
956,,,might be a cupboard with a connection to a floor trunking or something 
957,,,that might route back to here so if someone wanted to bring a keyboard 
958,,,in they could plug it in and it would connect via this to the 
959,,,loudspeakers
960,,Angela,yes
961,,Chris,certainly one one major thing is that you need trunking between these 
962,,,two that’s easy to access 
963,1:03:00,Angela,easy to access and add to yeah so 
964,,Adrian,ok
965,,Angela,that’s what we’re looking at it from our chapel at the moment that’s 
966,,,the restriction we’ve got with this existing chapel and so that’s what 
967,,,we’re looking at really I suppose with this now is that we’re looking at 
968,,,that
969,,Adrian,yes so can I 
970,,Angela,maybe we don’t need to
971,,Adrian,yes so can I ask you to to write me a brief for that area then and I’ll 
972,,,leave that I won’t change anything there 
973,,Chris,no
974,,Adrian,until you have another conversation about it OK well lets move on 
975,,,then the way in which the circulation works here is very similar to the 
976,,,existing chapel in that once a service has ended erm people would 
977,,,leave through these doors we’ve given you double doors because of 
978,,,the draught issue that you have at the present chapel
979,,Angela,yes
980,,Adrian,and from here they can process around the wreath court even have a 
981,,,look around the garden and admire what we’ve what we’re trying to 
982,,,create around here with the exception of certain religions like Sikhs 
983,1:04:00,,that we understand like to push the coffin in where they would actually 
984,,,walk through here into the committal room
985,,Angela,hm hm
986,,Adrian,we’ve designed erm I’ve had a chat chat with a Sikh colleague of mine in 
987,,,the office and he’s explained that 
988,,Angela,mr opie
989,,Adrian,no not mr opie erm we call him Bash Bash Dar Singh and er Bash 
990,,,tells me that they do like to do that and so the next space I’ve created 
991,,,through here is a spiritual space again with the same sectional form as 
992,,,the chapel and it is is lit with roof lights in as the chapel is it is also 
993,,,right on the axis of the wreath court here and it would be a nice 
994,,,spiritual space might be spaces to put in flowers there might certainly 
995,,,be space where there’s stained glass around the doors and so on to 
996,,,make it another antechapel if you like cum committal room whereby the 
997,,,coffin will be placed on erm this the I can’t remember what they’ve 
998,,,called it’s the
999,,Angela,the trolley
1000,1:05:00,Adrian,trolley
1001,,Chris,it’s the charging
1002,,Angela,charging
1003,,Adrian,the charging device and the Sikh people would be allowed to push it 
1004,,,into the cremator OK beyond that of course we get to the back of 
1005,,,house we get to the cremator room
1006,,Angela,OK can I obviously ask it seems a completely daft thing but if people 
1007,,,are if Sikhs are walking through after the service they obviously need 
1008,,,to be able to get through the curtain if we’re using curtains as our 
1009,,,committal style at the moment once the curtains are closed you have to 
1010,,,go through the curtains to open them
1011,,Adrian,you don’t necessarily have to go that way 
1012,,Angela,no
1013,,Adrian,there are three possible routes they either come through here one or 
1014,,,they go through here two or they can go through there three
1015,,Angela,OK that’s alright lovely
1016,,Adrian,they’ve got three alternative ways of getting in so if there’s a 
1017,,,curtaining thing there yes you can certainly guide them through this 
1018,1:06:00,,way that might be the nicest way to come in but + yeah
1019,,Angela,that’s OK thank you ++
1020,,Adrian,now + beyond that I’ve put in a cremator area the last time you and I 
1021,,,talked about this we were changing away from the original idea of 
1022,,,having a cool storage area into full cremators and so we’ve developed 
1023,,,the design of this end of the building with facultieve facultatieve 
1024,,,technologies 
1025,,Angela,yes
1026,,Adrian,who’ve provided your present cremators and it’s all worked out in my 
1027,,,original concept as server and served so that you end up with a 
1028,,,chimney sticking out through the servant space and not through the very 
1029,,,nice barrel vaulted roofs
1030,,Angela,ok
1031,,Adrian,erm the service yard is located here if once this is built if you needed 
1032,,,to replace a cremator well into the future these doors have been 
1033,,,designed to be wide enough so that you can bring equipment in and 
1034,1:07:00,,replace it from the service yard the service yard has a staff entrance on 
1035,,,it which erm allows a connection for staff to the back of the building 
1036,,,if you like the staff entrance links them straight into the staff room 
1037,,,which has a kitchenette
1038,,Angela,very plush
1039,,Adrian,well last time we spoke you thought it was comfortable to have a space 
1040,,,like this because you said that there might be large families visiting 
1041,,,wanting to arrange a funeral and if you couldn’t get them into the office 
1042,,,for that purpose you could bring them in here
1043,,Angela,yes
1044,,Adrian,so just like this space this space here would double up as a kitchenette 
1045,,,staff room and meeting room for large meetings
1046,,Angela,you’ll be able to see like we can we can see the cremators from here 
1047,,,at the moment which is always  
1048,,Adrian,no you can’t see them from here 
1049,,Angela,no you can’t see them so that’s not a that’s an issue yeah that’s well 
1050,,,some people you know
1051,,Adrian,don’t want to see them
1052,,Angela,don’t want to see it you know 
1053,,Adrian,yes I can understand that 
1054,,Angela,they also see that there’s been you know we’re sitting here chatting 
1055,,,having tea coffee and lunch and that’s so that’s quite nice that you 
1056,,,don’t actually see  it although you’re near to it 
1057,,Adrian,just like this room you get a view out over the gardens in this 
1058,,,direction OK
1059,,Angela,OK
1060,1:08:00,Adrian,and er the staff wing this area if you like has all the staff (support) 
1061,,,accommodation they have their own disabled loo cleaners store 
1062,,,shower changing area at the end here you have a (coat) store couple of 
1063,,,ordinary loos and on the front of house the really posh bit you get 
1064,,,lovely views from both the vestry and the office over the pond and you 
1065,,,get a formal entrance lobby on this axis the vestry has its own WC so 
1066,,,that the clergyman or priest whoever’s taking the service can change 
1067,,,and so on and so forth
1068,,Angela,the men can put their make up on 
1069,,Adrian,absolutely very important I never go out without my lipstick
1070,,Angela,no that’s (another thing) that’s super OK yeah
1071,,Adrian,OK so + on the other side we have er plant accommodation here we have 
1072,,,the gas housing because there’s a huge incoming gas supply required 
1073,1:09:00,,we have electrical switch room general plant room and we have plant 
1074,,,required by facultatieve to support the cremator facilities here we’re 
1075,,,also showing an ashes store here and cremator er cremulator room
1076,,Angela,yes
1077,,Adrian,erm ++ and erm interesting as you talk about cremulators because in 
1078,,,facultieve  facultatieve technologies quote they talk about a 
1079,,,cremulator as an add on to the basic cremator facilities and I’m 
1080,,,wondering which way you wanted to go on that they seem to 
1081,,Angela,they’ve quite they haven’t quite got it sussed at the moment 
1082,,Adrian,so you could have your cremulator as a bit at the back of the cremator
1083,,Angela,yes what happens what happens is when you rake down you rake it in 
1084,,,to a cremulator on each machine so you don’t have the removal of 
1085,,,cremated remains until they’ve been cremulated and put in to a powder 
1086,,,it’s all done on the machine itself so you rake it in to an area and 
1087,,,obviously the problem with that is that there’s some issues with 
1088,1:10:00,,removal of large metal joints and hip joints and leg joints and other 
1089,,,things and also the concern of servicing each cremulator on each 
1090,,,machine quite a lot involved with it they haven’t got those quite up 
1091,,,and running at the moment so it could be by the time we get to this it 
1092,,,might be yep
1093,,Adrian,right we’ve allowed a cremulator room anyway if you want a separate 
1094,,,cremulator that would be like close raking erm + but that would probably 
1095,,,/used for storing\
1096,,Angela,/where would the\ operators would they have a separate office to sit in 
1097,,,to there’s a switch room control room would it be any an area or 
1098,,,would the operator sit within that one area
1099,,Adrian,we show a control desk here but certainly if you didn’t need a 
1100,,,cremulator room that could easily be converted into a control room you 
1101,,,could even have a glass wall on it if you wanted
1102,,Angela,are we talking about the room still being chilled there by the because 
1103,,,that was the original chill room wasn’t it but that’s not now going to 
1104,,,happen 
1105,,Adrian,no we don’t have a chill room we have coffins stores as such here 
1106,1:11:00,,because forgot to mention those the idea was that erm that if you did 
1107,,,have Sikh funeral you wouldn’t really want to see other coffins hanging 
1108,,,around the idea is that you would store coffins in racks in here
1109,,Angela,OK and we also do that during the day if we’ve got we’ve got two 
1110,,,cremators there have you on there or just the one
1111,,Adrian,there’s /two cremators\
1112,,Angela,/two cremators\ yep so you know like us we occasionally have to store 
1113,,,through the day in that sense and if we’re talking about moving forward 
1114,,,with changes we might store twenty four hours I’m not sure yet it 
1115,,,depends how much gas we can get everything else in the world 
1116,,Adrian,so those doors are there for you to enable you to tidy this up into a 
1117,,,very chapel like space erm if you wish to make sure the ambience is 
1118,,,right for a Sikh or similar funeral what other religions apply to do that 
1119,,,is it just the Sikhs or 
1120,,Angela,erm the erm + Hindus and also the erm the Chinese Buddhists 
1121,1:12:00,,sometimes like to do that and we also have people who think we do 
1122,,,things and they want to make sure that nothing’s done we have 
1123,,,ordinary people think it’s all going on here and they fairly convinced 
1124,,,and they’re determined to make sure that we don’t do the awful things 
1125,,,that they think we do we’ve had that more than once where they want 
1126,,,that so and then and again its something that’s again on offer people 
1127,,,should have the chance to see that we don’t have hidden agenda with 
1128,,,that so we have an open area we’re not hiding what we do +
1129,,Adrian,I’ve lost me agenda now
1130,,Angela,the only comment also I’ve had from the funeral directors I mean in a 
1131,,,sense would be is this route here slight concern for people over that 
1132,,,that’s not a big issue
1133,,Adrian,well this I see this as primarily an architectural feature because 
1134,,,obviously there are numerous ways of getting into this accommodation 
1135,,,that’s route number one  the second route is round the end of the pond 
1136,1:13:00,,and the third route is through the chapel so there’s numerous ways of 
1137,,,coming in
1138,,Angela,that’s fine
1139,,Adrian,I guess this is for the young and the brave but I mean as you’ve said if 
1140,,,they fall in it gives you  more custom [laughs] /gives you more business\
1141,,Angela,/you know keep our figures\ up that’s what want yes but you know it 
1142,,,was seen as a bit oh dear what a daft idea but I mean you can see the 
1143,,,route obviously like you said I can see what that’s doing it’s bring(ing) 
1144,,,that’s fine but I mean the majority of people that we get sometimes are 
1145,,,elderly and are slightly so I I mean until we actually start to look at the 
1146,,,materials and what we’re going to put in there it’s difficult to you 
1147,,,know the thought that people would be 
1148,,Chris,I think if we could put a bridge or something that looks like a bridge 
1149,,Adrian,you can have that as a bridge if you wanted not necessarily stepping 
1150,,,stones 
1151,,Chris,yeah I think a bridge would be
1152,,Angela,compromising your design all the time [laughs]
1153,,Adrian,its not necessarily a compromise but if there’s a good reason for 
1154,,,changing it lets change it I’ve always wanted to do a stepping stone 
1155,,,type bridge across a pond maybe this isn’t
1156,1:14:00,Angela,perhaps we can put glass inserts in you know they can it looks like 
1157,,Chris,it would be very slippy +++
1158,,Angela,oh he’s poo pooing the idea I don’t know but yes it would be nice to 
1159,,,have that I don’t see that that’s a problem but I can see that in the end 
1160,,,what will happen it will have to be taken away as just a design and /( )\
1161,,Chris,/there is one a very\ small one of these there was in erm the winter 
1162,,,garden wasn’t there
1163,,Adrian,was there
1164,,Chris,wasn’t there a winter garden in central milton keynes 
1165,,Adrian,I know the big (common) you mean I didn’t know there was a
1166,,,stepping stone running across it
1167,,Chris,there was a stream 
1168,,Adrian,oh right so you could walk through it
1169,,Chris,there was a stream running across and you came down into the winter 
1170,,,garden down the steps and you had to go across stepping stones across 
1171,,,a stream and this was to the health club remember and they had so 
1172,,,many accidents people twisting their ankles ( ) that they’ve actually 
1173,,,filled in the gaps between them
